_id,timestamp,device_id,data,sample_index,local_datetime
1761,1736377132680.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527050"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736377132680, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",1,2025-01-09 00:58:52+0200
1765,1736384050276.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527050"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736384050276, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",2,2025-01-09 02:54:10+0200
1772,1736394396942.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527050"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736394396942, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",3,2025-01-09 05:46:36+0200
1775,1736396282495.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527050"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736396282495, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",4,2025-01-09 06:18:02+0200
1780,1736398081620.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527050"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736398081620, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",5,2025-01-09 06:48:01+0200
1781,1736398833710.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120001"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736398833710, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",6,2025-01-09 07:00:33+0200
1782,1736398900185.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120001"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736398900185, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",7,2025-01-09 07:01:40+0200
1796,1736399882012.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120001"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736399882012, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",8,2025-01-09 07:18:02+0200
1797,1736401682245.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120001"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736401682245, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",9,2025-01-09 07:48:02+0200
1798,1736402084700.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527042"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736402084700, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",10,2025-01-09 07:54:44+0200
1799,1736402086877.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527050"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736402086877, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",11,2025-01-09 07:54:46+0200
1800,1736402105776.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527042"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736402105776, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",12,2025-01-09 07:55:05+0200
1801,1736402105959.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527042"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736402105959, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",13,2025-01-09 07:55:05+0200
1802,1736402106216.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120002"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736402106216, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",14,2025-01-09 07:55:06+0200
1804,1736402896466.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120002"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736402896466, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",15,2025-01-09 08:08:16+0200
1805,1736403198174.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120002"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736403198174, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",16,2025-01-09 08:13:18+0200
1806,1736403198284.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527042"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736403198284, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",17,2025-01-09 08:13:18+0200
1807,1736403199151.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13527042"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736403199151, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",18,2025-01-09 08:13:19+0200
1808,1736403199273.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120002"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736403199273, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",19,2025-01-09 08:13:19+0200
1809,1736403204863.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""cid"": ""13120002"", ""lac"": ""15311"", ""psc"": ""0"", ""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""timestamp"": 1736403204863, ""bit_error_rate"": ""2147483647"", ""signal_strength"": ""2147483647""}",20,2025-01-09 08:13:24+0200
